DIVISION,AREA,division,OLS_r2,lasso_r2,lasso_alpha,atmos_r2,plant_r2,tas_winter,tas_spring,tas_summer,pr_winter,pr_spring,pr_summer,sfcWind_winter,sfcWind_spring,sfcWind_summer,hurs_winter,hurs_spring,hurs_summer,hfls_winter,hfls_spring,hfls_summer,VPD_winter,VPD_spring,VPD_summer,mrso_winter,mrso_spring,mrso_summer,evspsbl_winter,evspsbl_spring,evspsbl_summer
Marine Regime Mountains,305064739077.3451,Marine Regime Mountains,0.8957085999496823,0.7530383634042419,0.06599999999999995,0.6675664201990352,0.7302360665379366,0.06574014174252255,-0.0,0.022725633969977295,0.0,-0.12652782983113894,-0.5755728979125402,0.14240857973853654,-0.0,0.19169930442156438,-0.0,0.0,-0.0,-0.059258649782561956,0.0,-0.2719340105659864,-0.0,-0.0,0.0,-0.37820602860487396,-0.21023084840685438,-0.1868849082520203,-0.0,0.0,-0.0
Mediterranean Division,89187181487.24399,Mediterranean Division,0.6640746527279877,0.0,9.998999999999992,0.27960651082848964,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Mediterranean Regime Mountains,241530000000.0,Mediterranean Regime Mountains,0.8977958448043167,0.6320680200940758,0.035999999999999976,0.4657328822417861,0.33118826472534835,0.053769430941261076,0.0,0.0,-0.0,-0.0,0.0,0.10480297395626394,-0.015721929928565803,-0.022816136476288912,0.0,-0.0,-0.23849319969114913,-0.0,-0.0,0.0,0.0,0.03595144844828729,0.0,-0.0,-0.1007345295636108,-0.0,-0.0,-0.05644663795845124,0.0
Temperate Desert Division,695750000000.0,Temperate Desert Division,0.9413644395653924,0.23398837790101568,0.09199999999999993,0.25197750347446435,0.3638620856907289,0.0,0.0,0.0322805872833367,0.0,-0.0,-0.06430109724770182,0.0,0.0,0.0,-0.0,-0.0,-0.04770747402798476,0.0,-0.0,-0.0,0.012335568897676747,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
Temperate Desert Regime Mountains,113000000000.0,Temperate Desert Regime Mountains,0.6375160932849573,0.0,9.998999999999992,0.09214402812579436,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Temperate Steppe Regime Mountains,584430000000.0,Temperate Steppe Regime Mountains,0.9451510151228198,0.7395632629842115,0.06899999999999995,0.7950373354475126,0.645715307388739,0.0,0.02794115633390617,0.29506719664651787,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.11656609823675226,0.0,0.0,-0.0,-0.0,0.13230028153281867,0.046348786360090155,0.0,0.0,-0.0,0.0,0.0,-0.0
Tropical/Subtropical Desert Division,449500000000.0,Tropical/Subtropical Desert Division,0.8869645232762547,0.28303174730403635,0.10399999999999991,0.33676254783748033,0.17997706362235555,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01753709057930815,0.0,-0.0,-0.0,-0.0,0.0,0.1539303491927206,0.0,0.0,0.0,0.0,-0.0,-0.0
Tropical/Subtropical Regime Mountains,130200000000.0,Tropical/Subtropical Regime Mountains,0.7545835361475443,0.41759758140097025,0.1389999999999999,0.44507512980019903,0.4191720182511166,0.0,-0.0,0.0,-0.0,0.0,-0.08144383380495408,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23866040975617817,-0.0,-0.0,-0.0,0.0,0.0,0.0392588188253508,-0.0,-0.0,-0.1845426622356578,-0.0,-0.0,-0.0
Tropical/Subtropical Steppe Division,659782820772.32,Tropical/Subtropical Steppe Division,0.7176901960125452,0.24271363251439262,0.17799999999999988,0.3049994234509106,0.17353735932160297,0.12319331923182944,-0.0,0.2739685158438507,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
